epoch,model_ppl,model_acc,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path_x,epsilon,delta,alpha,model_path_y
37,360.3487598,0.25143,0.322,0.522,0.548,0.32,1000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-360.3487598_acc-0.25143_epoch-37,218.29,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-360.3487598_acc-0.25143_epoch-37
38,358.1669033,0.25714,0.322,0.524,0.55,0.322,1000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-358.1669033_acc-0.25714_epoch-38,221.64,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-358.1669033_acc-0.25714_epoch-38
39,357.0000813,0.25143,0.32,0.512,0.55,0.32,1000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-357.0000813_acc-0.25143_epoch-39,224.99,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-357.0000813_acc-0.25143_epoch-39
40,356.3548043,0.25143,0.32,0.506,0.55,0.318,1000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-356.3548043_acc-0.25143_epoch-40,228.34,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-356.3548043_acc-0.25143_epoch-40
41,354.005698,0.25143,0.318,0.512,0.55,0.316,1000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-354.0056980_acc-0.25143_epoch-41,231.68,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-354.0056980_acc-0.25143_epoch-41
42,353.291994,0.26857,0.324,0.518,0.552,0.32,1000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-353.2919940_acc-0.26857_epoch-42,235.03,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-353.2919940_acc-0.26857_epoch-42
43,352.5374635,0.26286,0.326,0.524,0.55,0.32,1000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-352.5374635_acc-0.26286_epoch-43,238.39,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-352.5374635_acc-0.26286_epoch-43
44,350.5968189,0.26286,0.326,0.516,0.55,0.322,1000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-350.5968189_acc-0.26286_epoch-44,241.74,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-350.5968189_acc-0.26286_epoch-44
45,350.28351,0.25714,0.326,0.52,0.55,0.318,1000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-350.2835100_acc-0.25714_epoch-45,245.09,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-350.2835100_acc-0.25714_epoch-45
46,350.8418167,0.26286,0.324,0.526,0.55,0.318,1000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-350.8418167_acc-0.26286_epoch-46,248.45,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-350.8418167_acc-0.26286_epoch-46
47,348.8653628,0.25714,0.324,0.518,0.55,0.318,1000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-348.8653628_acc-0.25714_epoch-47,251.81,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-348.8653628_acc-0.25714_epoch-47
48,347.7374393,0.25714,0.324,0.514,0.55,0.32,1000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-347.7374393_acc-0.25714_epoch-48,255.17,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-347.7374393_acc-0.25714_epoch-48
49,346.7492143,0.25714,0.326,0.52,0.55,0.318,1000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-346.7492143_acc-0.25714_epoch-49,258.52,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-346.7492143_acc-0.25714_epoch-49
50,345.7488897,0.25714,0.326,0.518,0.55,0.318,1000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-345.7488897_acc-0.25714_epoch-50,261.87,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-345.7488897_acc-0.25714_epoch-50
